highstreet_id,convenience,hairdresser,clothes,bakery,beauty,supermarket,dry_cleaning,bookmaker,newsagent,charity,count_lq_cluster,count
79,1.232,2.113,0.454,2.551,1.16,1.002,1.736,1.935,0.943,1.493,8,Eight
326,1.328,0.995,1.174,3.522,1.335,1.729,0,2.672,1.627,1.718,8,Eight
340,1.043,1.171,0.768,2.073,1.048,1.696,0.941,1.048,2.554,1.348,8,Eight
364,1.029,1.713,0,0,1.724,2.233,3.097,1.725,2.102,2.219,8,Eight
498,0,0.685,1.213,1.82,1.379,3.573,1.239,1.38,1.682,1.775,8,Eight
561,0.484,1.008,1.19,1.07,0.811,2.102,1.457,2.436,1.978,2.088,8,Eight
581,1.109,1.976,1.4,0,1.194,1.031,0.715,1.593,1.94,3.072,8,Eight
584,1.211,1.511,0.714,1.606,1.826,1.576,1.093,2.436,1.484,0,8,Eight
43,1.647,1.468,0,0,1.774,0,1.062,2.366,1.441,3.043,7,Seven
89,0.531,1.989,0.783,1.761,2.002,0.865,1.199,2.672,1.627,1.718,7,Seven
107,0.338,1.408,0.332,2.243,1.984,1.101,1.527,1.702,0,3.647,7,Seven
114,1.882,3.524,0.347,3.119,1.182,0,2.123,1.183,2.883,0,7,Seven
189,0.749,1.557,0.735,3.308,1.881,0.812,2.252,1.255,1.529,1.614,7,Seven
191,3.391,1.209,0,0,1.217,0,2.186,4.872,5.935,3.132,7,Seven
226,0.686,1.713,0,1.516,1.724,0,3.097,2.301,1.401,4.438,7,Seven
238,1.734,1.623,0,0,1.089,1.411,1.956,2.179,0,5.605,7,Seven
252,0.275,1.599,0.27,1.213,1.609,3.276,1.239,1.84,0.561,2.958,7,Seven
309,1.267,1.383,0.233,1.05,3.183,0.515,2.144,1.593,0,1.024,7,Seven
344,0.824,1.37,0.404,1.82,2.069,2.68,1.239,1.38,0,1.775,7,Seven
390,0.458,1.142,0,3.033,1.15,2.978,2.064,4.601,2.803,0,7,Seven
397,0.475,1.779,0.233,2.1,1.592,2.577,2.858,1.593,0,1.024,7,Seven
405,1.336,1.944,0.328,0,0.559,2.173,1.004,1.119,4.09,1.439,7,Seven
433,1.584,1.186,0,2.1,1.194,1.546,1.429,1.593,0.97,0,7,Seven
435,1.938,1.814,0,3.211,1.217,0,2.186,2.436,2.967,0,7,Seven
506,0.634,1.405,0.207,1.4,1.768,1.145,1.588,1.416,0,2.276,7,Seven
517,0.686,1.142,0.337,0.758,1.15,2.606,1.548,1.725,1.401,2.958,7,Seven
527,0.876,0.656,0,3.484,2.201,2.281,1.581,2.643,1.073,2.266,7,Seven
569,0.467,1.166,0.688,1.549,1.027,1.901,0.791,2.056,1.073,1.511,7,Seven
616,0.716,1.341,0,2.373,2.699,4.661,1.616,1.8,2.193,0,7,Seven
2,0.422,0.685,1.742,0.56,1.698,1.099,0.953,1.274,1.035,1.092,6,Six
6,1.478,1.318,0,2.799,3.714,1.374,0.953,1.062,0,0,6,Six
18,1.394,1.107,0,1.68,0.637,0,1.143,1.274,1.552,0,6,Six
19,0.25,1.168,1.103,1.654,1.411,1.015,0.282,0.941,0.764,3.631,6,Six
41,1.074,2.681,0,0,0,1.165,3.231,1.8,6.58,0,6,Six
45,0.484,1.411,0.238,2.141,1.217,0,2.186,0.812,2.967,3.132,6,Six
61,0.358,0.223,1.846,2.373,1.799,0,1.616,0,1.097,4.63,6,Six
66,1.098,0.856,1.011,0,1.379,1.34,1.239,0.69,0.841,4.438,6,Six
95,0.622,1.357,0.458,1.03,1.171,1.011,1.402,0.781,0.952,4.019,6,Six
132,1.83,2.284,0,0,1.533,1.985,1.376,1.534,0,0,6,Six
151,0.618,1.799,0.607,1.365,1.552,0,1.858,1.035,0,6.656,6,Six
166,1.098,1.37,0,0,2.759,0,2.477,2.761,3.363,0,6,Six
231,0.797,1.658,0.391,1.761,0.667,0.865,2.397,1.336,1.627,5.153,6,Six
235,0.941,1.468,0.347,4.679,1.774,0,2.123,1.183,0,3.043,6,Six
236,1.029,0.856,1.011,0,0.862,1.117,1.548,1.725,0,2.219,6,Six
250,0.242,1.511,0,0,2.434,2.365,1.093,1.218,1.484,0,6,Six
270,0.686,0.856,0,2.274,1.724,2.233,1.548,1.725,2.102,0,6,Six
274,0.895,1.341,0,0,1.349,1.748,2.423,0.9,1.097,3.473,6,Six
285,1.123,1.09,0.184,1.241,1.411,0.812,0.845,0.627,1.147,2.42,6,Six
291,0.471,1.133,0.495,1.782,1.774,1.75,0.607,1.014,0.412,3.043,6,Six
304,1.123,1.401,0,0,1.881,1.218,5.067,1.882,0,0,6,Six
